Google will allow users to sideload Android apps without verification,https://android-developers.googleblog.com/2025/11/android-developer-verification-early.html
"Checkout.com hacked, refuses ransom payment, donates to security labs",https://www.checkout.com/blog/protecting-our-merchants-standing-up-to-extortion
Steam Machine,https://store.steampowered.com/sale/steammachine
Steam Frame,https://store.steampowered.com/sale/steamframe
Android 16 QPR1 is being pushed to the Android Open Source Project,https://grapheneos.social/@GrapheneOS/115533432439509433
The last-ever penny will be minted today in Philadelphia,https://www.cnn.com/2025/11/12/business/last-penny-minted
Human Fovea Detector,https://www.shadertoy.com/view/4dsXzM
"Telli (Voice AI – YC F24) is hiring ambitious engineers in [on-site, Berlin]",https://hi.telli.com/eng
Continuous Autoregressive Language Models,https://arxiv.org/abs/2510.27688
Reverse Engineering Yaesu FT-70D Firmware Encryption,https://landaire.net/reversing-yaesu-firmware-encryption/
Project Euler,https://projecteuler.net
"GPT-5.1: A smarter, more conversational ChatGPT",https://openai.com/index/gpt-5-1/
Mergiraf: Syntax-Aware Merging for Git,https://lwn.net/SubscriberLink/1042355/434ad706cc594276/
Meta replaces WhatsApp for Windows with web wrapper that uses 1 GB RAM when idle,https://www.windowslatest.com/2025/11/12/meta-just-killed-native-whatsapp-on-windows-11-now-it-opens-webview-uses-1gb-ram-all-the-time/
"Transpiler, a Meaningless Word (2023)",https://people.csail.mit.edu/rachit/post/transpiler/
Marble: A Multimodal World Model,https://www.worldlabs.ai/blog/marble-world-model
Comparing the Latitude of Europe and America,https://vividmaps.com/comparing-latitude-of-europe-and-america/
Valve is about to win the console generation,https://xeiaso.net/blog/2025/valve-is-about-to-win-the-console-generation/
Strap Rail,https://www.construction-physics.com/p/strap-rail
Fighting the New York Times' invasion of user privacy,https://openai.com/index/fighting-nyt-user-privacy-invasion
